id,file,symbol_or_kind,lines,match_count,snippet,current_mechanism,current_role_ownership_assumption,target_capability,server_enforcement,rls_enforcement,ui_enforcement,owner_user_id_class,migration_dependency,wave,risk,test_required,scope
0048,app/api/internal/enrollment/activate/route.ts,current_user_role_rpc,104,1,// current_user_role() expect it.,SQL/RPC current_user_role(),prefers venues.owner_user_id then staff role LIMIT 1,LEGACY_ROLE_RESOLUTION,Y,N,N,,multi-owner + account contact,4,M,Y,venue_team
0049,app/api/internal/enrollment/activate/route.ts,owner_user_id,108,1,"p_owner_user_id: userId,",venues.owner_user_id reference,singular venue owner column,OWNER_USER_ID_REF,Y,N,N,a_account_contact,multi-owner + account contact,4,H,Y,venue_team
0050,app/api/internal/product-access/lock/route.ts,is_owner_eq,75,1,".eq(""is_owner"", true)",is_owner query filter,single is_owner row assumed often,ownership.* / is_owner,Y,N,N,,multi-owner + account contact,4,H,Y,venue_team
0051,app/api/venue/seating/assign/route.ts,current_user_venue_id,7,1,// current_user_venue_id() plus an active seating_delegations row for the,SQL/RPC current_user_venue_id(),owner_user_id venue then staff venue LIMIT 1,events.floor_plans,Y,N,N,,staff narrowing / finance caps,7,M,Y,venue_team
0052,app/api/venue/seating/route.ts,current_user_venue_id,5,1,"// Venue-authenticated read for one floor plan (current_user_venue_id(),",SQL/RPC current_user_venue_id(),owner_user_id venue then staff venue LIMIT 1,events.floor_plans,Y,N,N,,staff narrowing / finance caps,7,M,Y,venue_team
0053,app/setup/actions.ts,getCurrentUserRole,59,1,"getCurrentUserRole(),",app getCurrentUserRole() → RPC current_user_role(),owner|manager|coordinator|staff via LIMIT 1,LEGACY_ROLE_RESOLUTION,Y,N,N,,remaining role-string retirement,9,H,Y,venue_team
0054,app/setup/actions.ts,role_eq_manager,71,1,"canEditInquiryForm: role === ""owner"" || role === ""manager"",",role-string comparison,role===manager,LEGACY_ROLE_STRING,Y,N,N,,remaining role-string retirement,9,M,Y,venue_team
0055,app/setup/actions.ts,role_eq_owner,71,1,"canEditInquiryForm: role === ""owner"" || role === ""manager"",",role-string comparison,role===owner,LEGACY_ROLE_STRING,Y,N,N,,remaining role-string retirement,9,M,Y,venue_team
0056,components/library/library-documents-manager.tsx,current_user_venue_id,87,1,"// compare the first path segment to current_user_venue_id(), so a literal",SQL/RPC current_user_venue_id(),owner_user_id venue then staff venue LIMIT 1,ACTIVE_VENUE_CONTEXT,N,N,Y,,active venue context,2,H,Y,venue_team
0057,components/settings/team-roster.tsx,StaffRole,"6,35,42,62,122,170,260",7,"import type { StaffMember, StaffRole } from ""@/lib/team/types"";",StaffRole type/usage,see snippet,team.invite|team.change_access|team.remove,N,N,Y,,sensitive capability conversion,6,M,Y,venue_team
0058,lib/activation/service.ts,is_owner_eq,133,1,".eq(""is_owner"", false)",is_owner query filter,single is_owner row assumed often,ownership.* / is_owner,Y,N,N,,multi-owner + account contact,4,H,Y,venue_team
0059,lib/availability/assert-event-availability.db.sql,owner_user_id,31,1,"insert into public.venues (id, owner_user_id, name)",venues.owner_user_id reference,singular venue owner column,settings.availability,Y,partial,N,c_review_specific_actor_or_contact,remaining role-string retirement,9,M,Y,venue_team
0060,lib/availability/calendar-block-recurrence.db.sql,owner_user_id,27,1,"insert into public.venues (id, owner_user_id, name, timezone)",venues.owner_user_id reference,singular venue owner column,settings.availability,Y,partial,N,c_review_specific_actor_or_contact,remaining role-string retirement,9,M,Y,venue_team
0061,lib/availability/direct-add-transactional.db.sql,current_user_venue_id,7,1,-- auth.role() is service_role; venue resolution is current_user_venue_id().,SQL/RPC current_user_venue_id(),owner_user_id venue then staff venue LIMIT 1,settings.availability,Y,Y,N,,remaining role-string retirement,9,M,Y,venue_team
0062,lib/availability/direct-add-transactional.db.sql,owner_user_id,30,1,"insert into public.venues (id, owner_user_id, name)",venues.owner_user_id reference,singular venue owner column,settings.availability,Y,partial,N,c_review_specific_actor_or_contact,remaining role-string retirement,9,M,Y,venue_team
0063,lib/availability/event-availability-write.db.sql,owner_user_id,28,1,"insert into public.venues (id, owner_user_id, name)",venues.owner_user_id reference,singular venue owner column,settings.availability,Y,partial,N,c_review_specific_actor_or_contact,remaining role-string retirement,9,M,Y,venue_team
0064,lib/availability/inquiry-event-date.db.sql,owner_user_id,27,1,"insert into public.venues (id, owner_user_id, name)",venues.owner_user_id reference,singular venue owner column,settings.venue_profile,Y,partial,N,c_review_specific_actor_or_contact,remaining role-string retirement,9,M,Y,venue_team
0065,lib/booking-journey/setup-payments.ts,getCurrentUserRole,408,1,const role = await getCurrentUserRole();,app getCurrentUserRole() → RPC current_user_role(),owner|manager|coordinator|staff via LIMIT 1,LEGACY_ROLE_RESOLUTION,Y,N,N,,remaining role-string retirement,9,H,Y,venue_team
0066,lib/booking-journey/setup-payments.ts,role_eq_manager,409,1,"if (role === ""owner"" || role === ""manager"") {",role-string comparison,role===manager,LEGACY_ROLE_STRING,Y,N,N,,remaining role-string retirement,9,M,Y,venue_team
0067,lib/booking-journey/setup-payments.ts,role_eq_owner,409,1,"if (role === ""owner"" || role === ""manager"") {",role-string comparison,role===owner,LEGACY_ROLE_STRING,Y,N,N,,remaining role-string retirement,9,M,Y,venue_team
0068,lib/calendar/schedule-item-catalog-service.ts,getCurrentUserRole,"138,192,233,283,307",5,const role = await getCurrentUserRole();,app getCurrentUserRole() → RPC current_user_role(),owner|manager|coordinator|staff via LIMIT 1,settings.availability,Y,N,N,,remaining role-string retirement,9,H,Y,venue_team
0069,lib/calendar/schedule-item-catalog-service.ts,role_eq_manager,36,1,"return role === ""owner"" || role === ""manager"";",role-string comparison,role===manager,settings.availability,Y,N,N,,remaining role-string retirement,9,M,Y,venue_team
0070,lib/calendar/schedule-item-catalog-service.ts,role_eq_owner,36,1,"return role === ""owner"" || role === ""manager"";",role-string comparison,role===owner,settings.availability,Y,N,N,,remaining role-string retirement,9,M,Y,venue_team
0071,lib/calendar/venue-schedule-catalog-2a1.db.sql,owner_user_id,37,1,"insert into public.venues (id, owner_user_id, name)",venues.owner_user_id reference,singular venue owner column,OWNER_USER_ID_REF,Y,partial,N,c_review_specific_actor_or_contact,multi-owner + account contact,4,H,Y,venue_team
0072,lib/calendar/venue-schedule-catalog-2a23.db.sql,owner_user_id,24,1,"insert into public.venues (id, owner_user_id, name)",venues.owner_user_id reference,singular venue owner column,OWNER_USER_ID_REF,Y,partial,N,c_review_specific_actor_or_contact,multi-owner + account contact,4,H,Y,venue_team
0073,lib/calendar/venue-schedule-catalog-2a24.db.sql,owner_user_id,34,1,"insert into public.venues (id, owner_user_id, name) values",venues.owner_user_id reference,singular venue owner column,OWNER_USER_ID_REF,Y,partial,N,c_review_specific_actor_or_contact,multi-owner + account contact,4,H,Y,venue_team
0074,lib/client-auth/service.ts,current_user_venue_id,5,1,"*   - Venue-side (coordinator is signed in, RLS via current_user_venue_id()):",SQL/RPC current_user_venue_id(),owner_user_id venue then staff venue LIMIT 1,ACTIVE_VENUE_CONTEXT,Y,N,N,,active venue context,2,H,Y,venue_team
0075,lib/clients/repository.ts,current_user_venue_id,257,1,"// current_user_venue_id(), the same RLS-backed source of truth every",SQL/RPC current_user_venue_id(),owner_user_id venue then staff venue LIMIT 1,ACTIVE_VENUE_CONTEXT,Y,N,N,,active venue context,2,H,Y,venue_team
0076,lib/contracts/service.ts,getCurrentUserRole,"758,836,948,1035",4,const role = await getCurrentUserRole();,app getCurrentUserRole() → RPC current_user_role(),owner|manager|coordinator|staff via LIMIT 1,contracts.venue_sign|documents.delete,Y,N,N,,sensitive capability conversion,6,H,Y,venue_team
0077,lib/contracts/service.ts,role_ne_owner,"759,837,949,1036",4,"if (role !== ""owner"" && role !== ""manager"") {",role-string comparison,see snippet,contracts.venue_sign|documents.delete,Y,N,N,,sensitive capability conversion,6,M,Y,venue_team
0078,lib/conversations/repository.ts,current_user_venue_id,"6,319,824",3,* resolve the caller's venue internally via current_user_venue_id() (venue,SQL/RPC current_user_venue_id(),owner_user_id venue then staff venue LIMIT 1,ACTIVE_VENUE_CONTEXT,Y,N,N,,active venue context,2,H,Y,venue_team
0079,lib/conversations/service.ts,current_user_venue_id,7,1,"* (current_user_venue_id()), so unlike lib/leads/service.ts there's no",SQL/RPC current_user_venue_id(),owner_user_id venue then staff venue LIMIT 1,ACTIVE_VENUE_CONTEXT,Y,N,N,,active venue context,2,H,Y,venue_team
0080,lib/dashboard/service.ts,is_owner_eq,206,1,".eq(""is_owner"", true)",is_owner query filter,single is_owner row assumed often,ownership.* / is_owner,Y,N,N,,multi-owner + account contact,4,H,Y,venue_team
0081,lib/documents/storage-path.ts,current_user_venue_id,"6,9,56",3,"* the FIRST path segment to current_user_venue_id() on insert, select, update",SQL/RPC current_user_venue_id(),owner_user_id venue then staff venue LIMIT 1,ACTIVE_VENUE_CONTEXT,Y,N,N,,active venue context,2,H,Y,venue_team
0082,lib/event-inventory/service.ts,getCurrentUserRole,319,1,const role = await getCurrentUserRole();,app getCurrentUserRole() → RPC current_user_role(),owner|manager|coordinator|staff via LIMIT 1,LEGACY_ROLE_RESOLUTION,Y,N,N,,remaining role-string retirement,9,H,Y,venue_team
0083,lib/event-inventory/service.ts,role_ne_owner,320,1,"if (role !== ""owner"" && role !== ""manager"") {",role-string comparison,see snippet,LEGACY_ROLE_STRING,Y,N,N,,remaining role-string retirement,9,M,Y,venue_team
0084,lib/events/service.ts,getCurrentUserRole,204,1,const role = await getCurrentUserRole();,app getCurrentUserRole() → RPC current_user_role(),owner|manager|coordinator|staff via LIMIT 1,LEGACY_ROLE_RESOLUTION,Y,N,N,,remaining role-string retirement,9,H,Y,venue_team
0085,lib/events/service.ts,role_ne_owner,205,1,"if (role !== ""owner"" && role !== ""manager"") {",role-string comparison,see snippet,LEGACY_ROLE_STRING,Y,N,N,,remaining role-string retirement,9,M,Y,venue_team
0086,lib/export/service.ts,exportVenueData,15,1,export async function exportVenueData(): Promise<ExportResult> {,exportVenueData service,any member of current venue,data.export,Y,N,N,,sensitive capability conversion,6,H,Y,venue_team
0087,lib/export/service.ts,get_venue_export,20,1,"const { data, error } = await supabase.rpc(""get_venue_export"", { p_venue_id: venue.id });",get_venue_export RPC,venue_id == current_user_venue_id only,data.export,Y,N,N,,sensitive capability conversion,6,H,Y,venue_team
0088,lib/floor-plan-offers/service.ts,canEditFloorPlans,28,1,if (!canEditFloorPlans(role)) {,app role helper O/M/C,owner|manager|coordinator,events.floor_plans,Y,N,N,,staff narrowing / finance caps,7,M,Y,venue_team
0089,lib/floor-plan-offers/service.ts,getCurrentUserRole,27,1,const role = await getCurrentUserRole();,app getCurrentUserRole() → RPC current_user_role(),owner|manager|coordinator|staff via LIMIT 1,events.floor_plans,Y,N,N,,staff narrowing / finance caps,7,H,Y,venue_team
0090,lib/floor-plan-templates/service.ts,canDeleteFloorPlanRows,56,1,if (!canDeleteFloorPlanRows(role)) {,app role helper O/M,owner|manager,events.floor_plans,Y,N,N,,staff narrowing / finance caps,7,M,Y,venue_team
0091,lib/floor-plan-templates/service.ts,canEditFloorPlans,44,1,if (!canEditFloorPlans(role)) {,app role helper O/M/C,owner|manager|coordinator,events.floor_plans,Y,N,N,,staff narrowing / finance caps,7,M,Y,venue_team
0092,lib/floor-plan-templates/service.ts,getCurrentUserRole,"43,55",2,const role = await getCurrentUserRole();,app getCurrentUserRole() → RPC current_user_role(),owner|manager|coordinator|staff via LIMIT 1,events.floor_plans,Y,N,N,,staff narrowing / finance caps,7,H,Y,venue_team
0093,lib/floor-plans/authorize.ts,canDeleteFloorPlanRows,35,1,export function canDeleteFloorPlanRows(role: string | null | undefined): boolean {,app role helper O/M,owner|manager,events.floor_plans,Y,N,N,,staff narrowing / finance caps,7,M,Y,venue_team
0094,lib/floor-plans/authorize.ts,canEditFloorPlans,30,1,export function canEditFloorPlans(role: string | null | undefined): boolean {,app role helper O/M/C,owner|manager|coordinator,events.floor_plans,Y,N,N,,staff narrowing / finance caps,7,M,Y,venue_team
0095,lib/floor-plans/authorize.ts,role_eq_coordinator,31,1,"return role === ""owner"" || role === ""manager"" || role === ""coordinator"";",role-string comparison,see snippet,events.floor_plans,Y,N,N,,staff narrowing / finance caps,7,M,Y,venue_team
0096,lib/floor-plans/authorize.ts,role_eq_manager,"31,36",2,"return role === ""owner"" || role === ""manager"" || role === ""coordinator"";",role-string comparison,role===manager,events.floor_plans,Y,N,N,,staff narrowing / finance caps,7,M,Y,venue_team
0097,lib/floor-plans/authorize.ts,role_eq_owner,"31,36",2,"return role === ""owner"" || role === ""manager"" || role === ""coordinator"";",role-string comparison,role===owner,events.floor_plans,Y,N,N,,staff narrowing / finance caps,7,M,Y,venue_team
0098,lib/floor-plans/service.ts,canDeleteFloorPlanRows,61,1,if (!canDeleteFloorPlanRows(role)) {,app role helper O/M,owner|manager,events.floor_plans,Y,N,N,,staff narrowing / finance caps,7,M,Y,venue_team
0099,lib/floor-plans/service.ts,canEditFloorPlans,48,1,if (!canEditFloorPlans(role)) {,app role helper O/M/C,owner|manager|coordinator,events.floor_plans,Y,N,N,,staff narrowing / finance caps,7,M,Y,venue_team
0100,lib/floor-plans/service.ts,getCurrentUserRole,"47,60",2,const role = await getCurrentUserRole();,app getCurrentUserRole() → RPC current_user_role(),owner|manager|coordinator|staff via LIMIT 1,events.floor_plans,Y,N,N,,staff narrowing / finance caps,7,H,Y,venue_team
0101,lib/floor-plans/staff-write-gates.db.sql,current_user_role_rpc,"95,96,225,226,302,303,328,329",8,if public.current_user_role() is distinct from 'staff' then,SQL/RPC current_user_role(),prefers venues.owner_user_id then staff role LIMIT 1,events.floor_plans,Y,Y,N,,staff narrowing / finance caps,7,M,Y,venue_team
0102,lib/floor-plans/staff-write-gates.db.sql,current_user_venue_id,98,1,if public.current_user_venue_id() is distinct from v_venue then,SQL/RPC current_user_venue_id(),owner_user_id venue then staff venue LIMIT 1,events.floor_plans,Y,Y,N,,staff narrowing / finance caps,7,M,Y,venue_team
0103,lib/floor-plans/staff-write-gates.db.sql,owner_user_id,46,1,"insert into public.venues (id, owner_user_id, name)",venues.owner_user_id reference,singular venue owner column,events.floor_plans,Y,partial,N,c_review_specific_actor_or_contact,staff narrowing / finance caps,7,M,Y,venue_team
0104,lib/guests/service.ts,current_user_venue_id,9,1,"* venue_id = current_user_venue_id() policy) — this is a new query, not new",SQL/RPC current_user_venue_id(),owner_user_id venue then staff venue LIMIT 1,ACTIVE_VENUE_CONTEXT,Y,N,N,,active venue context,2,H,Y,venue_team
0105,lib/inquiry-form/service.ts,canManageInquiryFormSettings,"25,163,205",3,function canManageInquiryFormSettings(role: string | null): boolean {,app role helper owner|manager,owner|manager,settings.venue_profile,Y,N,N,,remaining role-string retirement,9,M,Y,venue_team
0106,lib/inquiry-form/service.ts,getCurrentUserRole,"162,204",2,const role = await getCurrentUserRole();,app getCurrentUserRole() → RPC current_user_role(),owner|manager|coordinator|staff via LIMIT 1,settings.venue_profile,Y,N,N,,remaining role-string retirement,9,H,Y,venue_team
0107,lib/inquiry-form/service.ts,role_eq_manager,26,1,"return role === ""owner"" || role === ""manager"";",role-string comparison,role===manager,settings.venue_profile,Y,N,N,,remaining role-string retirement,9,M,Y,venue_team
0108,lib/inquiry-form/service.ts,role_eq_owner,26,1,"return role === ""owner"" || role === ""manager"";",role-string comparison,role===owner,settings.venue_profile,Y,N,N,,remaining role-string retirement,9,M,Y,venue_team
